# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2008	3.6001	0.1268	0.0396	-0.0585	0.1053	0.04	0.03	0.03	0.03
2	2008	3.6006	0.128	0.0381	-0.0659	0.1028	0.04	0.03	0.03	0.03
2	2008	3.6012	0.1208	0.0374	-0.0596	0.098	0.04	0.03	0.03	0.03
2	2008	3.6017	0.1252	0.0348	-0.0703	0.0975	0.04	0.03	0.03	0.03
2	2008	3.6023	0.1217	0.032	-0.0659	0.0972	0.04	0.03	0.03	0.03
2	2008	3.6028	0.1208	0.0318	-0.0678	0.0946	0.04	0.03	0.03	0.03
2	2008	3.6034	0.124	0.0287	-0.069	0.0989	0.04	0.03	0.03	0.03
2	2008	3.604	0.117	0.0261	-0.0695	0.0904	0.04	0.03	0.03	0.03
2	2008	3.6045	0.1149	0.0308	-0.0599	0.0929	0.04	0.03	0.03	0.03
2	2008	3.6051	0.1181	0.0302	-0.0614	0.0962	0.04	0.03	0.03	0.03
2	2008	3.6056	0.1207	0.0272	-0.0558	0.1034	0.04	0.03	0.03	0.03
2	2008	3.6062	0.1241	0.0318	-0.0608	0.1034	0.04	0.03	0.03	0.03
2	2008	3.6067	0.1295	0.0276	-0.0659	0.108	0.04	0.03	0.03	0.03
2	2008	3.6073	0.1336	0.0271	-0.0687	0.1113	0.04	0.03	0.03	0.03
2	2008	3.6078	0.1215	0.0252	-0.0547	0.1054	0.04	0.03	0.03	0.03
2	2008	3.6084	0.1279	0.029	-0.0525	0.1129	0.04	0.03	0.03	0.03
2	2008	3.609	0.1327	0.0269	-0.0613	0.1143	0.04	0.03	0.03	0.03
2	2008	3.6095	0.1341	0.026	-0.0614	0.1162	0.04	0.03	0.03	0.03
2	2008	3.6101	0.1371	0.0241	-0.0596	0.121	0.04	0.03	0.03	0.03
2	2008	3.6106	0.1338	0.0226	-0.0589	0.1179	0.04	0.03	0.03	0.03
2	2008	3.6112	0.1296	0.0238	-0.0591	0.1128	0.04	0.03	0.03	0.03
2	2008	3.6117	0.1216	0.0214	-0.0577	0.1046	0.04	0.03	0.03	0.03
2	2008	3.6123	0.1234	0.0207	-0.0521	0.1098	0.04	0.03	0.03	0.03
2	2008	3.6128	0.115	0.0214	-0.051	0.1008	0.04	0.03	0.03	0.03
2	2008	3.6134	0.1199	0.0215	-0.0518	0.1059	0.04	0.03	0.03	0.03
2	2008	3.614	0.1181	0.0259	-0.0507	0.1033	0.04	0.03	0.03	0.03
2	2008	3.6145	0.1161	0.0285	-0.0502	0.1007	0.04	0.03	0.03	0.03
2	2008	3.6151	0.1207	0.0308	-0.054	0.1034	0.04	0.03	0.03	0.03
2	2008	3.6156	0.1244	0.0252	-0.0475	0.1121	0.04	0.03	0.03	0.03
2	2008	3.6162	0.1308	0.0265	-0.0572	0.1145	0.04	0.03	0.03	0.03
2	2008	3.6167	0.1297	0.0216	-0.055	0.1153	0.04	0.03	0.03	0.03
2	2008	3.6173	0.1249	0.023	-0.0577	0.1083	0.04	0.03	0.03	0.03
2	2008	3.6178	0.1182	0.0282	-0.0544	0.101	0.04	0.03	0.03	0.03
2	2008	3.6184	0.1175	0.0293	-0.0558	0.0991	0.04	0.03	0.03	0.03
2	2008	3.619	0.1212	0.0282	-0.0513	0.1061	0.04	0.03	0.03	0.03
2	2008	3.6195	0.1239	0.0281	-0.0536	0.108	0.04	0.03	0.03	0.03
2	2008	3.6201	0.1105	0.0279	-0.0396	0.0992	0.04	0.03	0.03	0.03
2	2008	3.6206	0.1143	0.0251	-0.0482	0.1005	0.04	0.03	0.03	0.03
2	2008	3.6212	0.1158	0.0263	-0.0487	0.1016	0.04	0.03	0.03	0.03
2	2008	3.6217	0.1076	0.0249	-0.0458	0.094	0.04	0.03	0.03	0.03
2	2008	3.6223	0.0977	0.0244	-0.0462	0.0824	0.04	0.03	0.03	0.03
2	2008	3.6228	0.0969	0.0248	-0.0542	0.0763	0.04	0.03	0.03	0.03
2	2008	3.6234	0.1028	0.0274	-0.0571	0.0808	0.04	0.03	0.03	0.03
2	2008	3.624	0.1077	0.0302	-0.0672	0.0785	0.04	0.03	0.03	0.03
2	2008	3.6245	0.1114	0.0301	-0.0686	0.0824	0.04	0.03	0.03	0.03
2	2008	3.6251	0.1142	0.025	-0.0707	0.086	0.04	0.03	0.03	0.03
2	2008	3.6256	0.1125	0.0247	-0.0609	0.0912	0.04	0.03	0.03	0.03
2	2008	3.6262	0.1163	0.0266	-0.0727	0.0867	0.04	0.03	0.03	0.03
2	2008	3.6267	0.1168	0.0231	-0.0674	0.0924	0.04	0.03	0.03	0.03
2	2008	3.6273	0.1136	0.0233	-0.0641	0.0908	0.04	0.03	0.03	0.03
2	2008	3.6278	0.1065	0.0237	-0.0537	0.0888	0.04	0.03	0.03	0.03
2	2008	3.6284	0.1091	0.0255	-0.0619	0.086	0.04	0.03	0.03	0.03
2	2008	3.629	0.1021	0.0279	-0.0532	0.0825	0.04	0.03	0.03	0.03
2	2008	3.6295	0.104	0.0257	-0.0579	0.0823	0.04	0.03	0.03	0.03
